date,batch,Number,Temperature,Density,K,Na,Ca,Mg,HCO3,SO4,Cl,pH,pe,Li,Sr,B,Br,NO3,TDS,B2O3,Rb ug/L,Cs ug/L
2021/8/29,1, D01-1,21.3,1.2127,0.15 ,3.44 ,0.03 ,1.30 ,0.01 ,0.05 ,5.94 ,6.86 ,,0.00882853,0.000330861,0.006704903,7.51E-05,0.000329006,333.78,,,
2021/8/29,1, D01-2,18.9,1.2194,0.317993365,2.833825777,0.028369679,1.57041761,0.010675748,0.04479492,5.871125152,6.78,,0.009083573,0.000354828,0.007392229,5.76E-05,0.000359649,330.19,,,
2021/8/29,1, D01-3,17.6,1.222,0.372829509,2.589760689,0.028045312,1.619008434,0.010842915,0.04483656,5.724057202,6.72,,0.00945245,0.000357909,0.007688252,5.13E-05,0.000127409,322.68,,,
2021/8/29,1, D01-4,15.9,1.2349,0.665527657,2.166006975,0.027172015,1.849413701,0.011762334,0.041484489,5.766733422,6.62,,0.009501441,0.000372175,0.007764107,6.13E-05,9.68E-05,331.2,,,
2021/8/29,1, D01-5,13.8,1.2616,0.375182553,0.661033175,0.022503618,3.205348694,0.015749761,0.024744951,7.002228302,6.2,,0.01173487,0.000292856,0.008787234,3.25E-05,0.000216112,360.48,,,
2021/8/29,1, D01-6,13.3,1.267,0.287045728,0.539674844,0.024364988,3.466447233,0.016048039,0.021507391,7.40896398,5.95,,0.012393372,0.000279388,0.009990749,4.26E-05,0.000216112,374.81,,,
2021/8/29,1, D01-7,12.4,1.2666,0.260701872,0.53301971,0.024252707,3.460275663,0.016362707,0.021320008,7.390009308,5.88,,0.012878963,0.00027528,0.009978723,5.38E-05,0.000201597,372.8,,,
2021/8/29,1, D01-8,12.1,1.2643,0.270779036,0.569818688,0.025200858,3.374490846,0.015302343,0.022298563,7.25439314,5.88,,0.012573487,0.000281328,0.010056429,6.38E-05,0.000195146,367.22,,,
2021/8/29,1, D06-1,20.3,1.2103,0.110362855,3.657887994,0.031039473,1.221394775,0.007701158,0.047740995,5.994330522,6.91,,0.008742075,0.000377882,0.006010176,9.89E-05,0.000179018,337.09,,,
2021/8/29,1, D06-2,19.2,1.237,0.697012402,1.96191619,0.026972404,1.958691627,0.011423083,0.040693317,5.783149522,6.6,,0.00965562,0.000368295,0.008038853,0.000110132,0.000185469,330.89,,,
2021/8/29,1, D06-3,17.5,1.2394,0.753945824,2.003934881,0.027521333,2.071795927,0.011862307,0.040495524,6.051138127,6.57,,0.009612392,0.000371947,0.008311748,1.75E-05,0.000141924,346.35,,,
2021/8/29,1, D11-1,21.3,1.2081,0.039080983,3.738924041,0.029592295,1.1462662,0.007592991,0.05132209,5.918088737,6.95,,0.008942363,0.00030404,0.005531915,9.64E-05,0.000122571,331.9,,,
2021/8/29,1, D11-2,21,1.2077,0.0373162,3.775940506,0.02894356,1.103846945,0.007360268,0.050458047,5.8722252,6.87,,0.008628242,0.000296165,0.005675301,0.000110132,0.000120958,329.9,,,
2021/8/29,1, BS1,21.3,1.2305,0.363 ,1.885 ,0.046 ,2.153 ,0.013 ,0.046 ,6.083 ,6.460 ,4.000 ,0.012739193,0.00059701,0.006811286,0.000177713,0.000351585,332.81,,,
2021/8/29,1, CL1,16.5,1.2168,0.235150889,2.835739672,0.038100704,1.55926764,0.010577415,0.047605663,5.845231715,6.64,,0.00951585,0.000354942,0.005282146,0.000163947,0.000369326,326.45,,,
2021/8/29,1, HS1,20.5,1.1982,0.036 ,2.740 ,0.039 ,1.522 ,0.013 ,0.066 ,5.634 ,6.940 ,4.000 ,0.012050432,0.000344442,0.005476411,0.001063777,7.58E-05,310.1,,,
2021/9/10,2, D01-1,19.5,1.2163,0.30 ,2.71 ,0.03 ,1.39 ,0.01 ,0.05 ,5.77 ,6.82 ,,0.009221902,0.000435974,0.00693802,0.000173959,0.000291106,319.1,241.5,,
2021/9/10,2, D01-2,18.8,1.2176,0.356281475,2.40502634,0.031763062,1.605019543,0.010079191,0.043452009,5.936704933,6.76,,0.00945245,0.000391463,0.008418131,0.000260938,4.84E-07,325,293,,
2021/9/10,2, D01-3,17.6,1.2193,0.377765785,2.408636642,0.031139278,1.591853528,0.010228331,0.042296481,5.936704933,6.74,,0.00925072,0.000382333,0.007992599,0.000187725,4.84E-07,325.4,278.2,,
2021/9/10,2, D01-4,16.7,1.2319,0.73583762,1.861741195,0.030590349,1.882328739,0.011255916,0.039714762,6.332468338,6.61,,0.009596542,0.00041543,0.008492137,0.00012515,0.001071689,347.8,295.6,,
2021/9/10,2, D01-5,15.1,1.2418,0.716143669,1.132373274,0.027845701,2.44517589,0.025157006,0.034728295,6.699997179,6.43,,0.01056196,0.000381192,0.008778908,5.26E-05,0.00151359,357.3,305.6,,
2021/9/10,2, D01-6,14.8,1.2454,0.552453687,0.868690764,0.026772793,2.727422341,0.027812012,0.030022902,6.841339238,6.34,,0.010951009,0.000350377,0.008889917,0.000143297,0.001569231,356.4,309.4,,
2021/9/10,2, D06-1,20.4,1.2129,0.154840492,3.007468235,0.031588403,1.249125694,0.007733936,0.045055174,5.62572984,6.86,,0.008616715,0.000398311,0.006234968,9.82E-05,0.000173373,311.3,217,,
2021/9/10,2, D06-2,20.1,1.2316,0.814101892,1.968962803,0.032436748,1.704176095,0.009466245,0.042379763,6.162863509,6.61,,0.009106628,0.00041543,0.007308048,0.00403359,4.84E-07,343.5,254.4,,
2021/9/10,2, D06-3,19.1,1.2357,0.900294898,2.011329474,0.032436748,1.690598642,0.009507218,0.041775973,6.264632048,6.55,,0.009106628,0.000422278,0.008344126,0.000286594,4.84E-07,350.7,290.4,,
2021/9/10,2, D11-1,20.8,1.2092,0.042022287,3.394857947,0.032212186,1.07714462,0.013511033,0.04676244,5.5465828,6.98,,0.008458213,0.000325268,0.007659574,0.000130156,4.84E-07,309.3,266.6,,
2021/9/10,2, D11-2,20.4,1.2084,0.042457089,3.377415406,0.032786067,1.078790372,0.006788294,0.047334999,5.540913322,7.01,,0.008501441,0.000325268,0.006373728,7.70E-05,4.84E-07,308.4,221.9,,
2021/9/10,2, BS1,16.5,1.2345,0.511 ,1.415 ,0.041 ,2.208 ,0.012 ,0.039 ,6.332 ,6.450 ,4.000 ,0.01259366,0.000631134,0.010120259,5.51E-05,4.84E-07,337.1,352.3,,
2021/9/10,2, CL1,18.5,1.2225,0.361908318,2.108068158,0.031114327,1.785640815,0.011033027,0.043743494,6.004541224,6.63,,0.01056196,0.000383474,0.008704903,7.70E-05,0.000601565,325.3,303,,
2021/9/10,2, CL2,18.4,1.2275,0.437359169,1.842993725,0.029667149,1.992182678,0.011405056,0.04023527,6.2306998,6.54,,0.00981268,0.000354942,0.00906568,0.000290348,0.000295138,334.8,315.6,,
2021/9/10,2, HS1,27.5,1.2009,0.045 ,2.188 ,0.032 ,1.568 ,0.013 ,0.059 ,5.303 ,6.990 ,4.000 ,0.012665706,0.000368637,0.009158187,0.000316004,0.000389485,286.2,318.8,,
2021/9/20,3, D01-1,19.6,1.2126,0.21 ,2.93 ,0.03 ,1.29 ,0.01 ,0.05 ,5.67 ,6.84 ,,0.008804035,0.000393746,0.009287697,0.000125025,4.84E-07,314.3, ,,
2021/9/20,3, D01-2,18.3,1.2164,0.282876749,2.765099554,0.030465592,1.415758074,0.009813691,0.046981054,5.823625645,6.76,,0.008645533,0.000390322,0.009269195,0.000120019,4.84E-07,322, ,,
2021/9/20,3, D01-3,17.4,1.2179,0.326868432,2.620513499,0.030091322,1.488171158,0.010170969,0.046346034,5.868840437,6.76,,0.009005764,0.000391463,0.008482886,0.000123774,4.84E-07,323.7, ,,
2021/9/20,3, D01-4,16.6,1.2268,0.54068847,2.235298667,0.030141225,1.686072825,0.011123166,0.043753904,6.094999013,6.61,,0.009005764,0.000404017,0.010767808,0.000105001,4.84E-07,335.9, ,,
2021/9/20,3, D01-5,15.9,1.2416,0.747858603,1.56356508,0.028294825,2.143591854,0.01265717,0.04027691,6.547344371,6.49,,0.010057637,0.000392604,0.010425532,0.00014142,0.000219338,355.4, ,,
2021/9/20,3, D01-6,15.2,1.2604,0.444776371,0.571863075,0.026024253,3.139271755,0.014546813,0.028232355,7.259724142,6.14,,0.010893372,0.000337822,0.011406105,0.000136163,0.000601565,369.1, ,,
2021/9/20,3, D01-7,13,1.2695,0.283644046,0.426581059,0.028694047,3.438798601,0.015443288,0.023714345,7.565057964,5.91,,0.011916427,0.000313855,0.011914894,0.00019148,0.000650755,377.3, ,,
2021/9/20,3, D01-8,12.4,1.2687,0.297711154,0.456028941,0.029267928,3.416992388,0.01548426,0.023985009,7.565057964,5.9,,0.011873199,0.00031842,0.012340426,0.000153184,0.001131362,378.1, ,,
2021/9/20,3, D06-1,18.9,1.2107,0.126731853,3.231306935,0.030939668,1.142563259,0.008222326,0.049531543,5.58615632,6.96,,0.008025937,0.000392604,0.008057354,0.000114638,0.000411258,311.8, ,,
2021/9/20,3, D06-2,17.9,1.2199,0.429686201,2.675363985,0.030390738,1.322361654,0.009249911,0.04807412,5.69356613,6.84,,0.008285303,0.000399452,0.008038853,0.000121145,6.05E-05,318.9, ,,
2021/9/20,3, D06-3,17.3,1.2335,0.807963518,2.233776251,0.030091322,1.544538161,0.003033591,0.045804705,6.08371647,6.66,,0.008256484,0.000408583,0.008973173,0.000126277,4.84E-07,342.2, ,,
2021/9/20,3, D11-1,18.9,1.2076,0.041024802,3.389681732,0.033634413,1.019131866,0.006714544,0.051655215,5.416523284,7.05,,0.008458213,0.00033554,0.006373728,0.000116515,0.000120152,303.2, ,,
2021/9/20,3, D11-2,18.2,1.2075,0.039566938,3.411387039,0.03395878,1.032297881,0.006812878,0.05262336,5.461766282,7.16,,0.008544669,0.000338964,0.006281221,0.000114262,0.000553182,305.7, ,,
2021/9/20,3, BS1,17,1.2315,0.428 ,1.296 ,0.039 ,2.234 ,0.013 ,0.044 ,6.152 ,6.560 ,4.000 ,0.012795389,0.000663091,0.012506938,0.000156813,0.000187082,325.8, ,,
2021/9/20,3, CL1,18,1.219,0.298222685,2.148085959,0.032212186,1.690187204,0.010692137,0.054674162,5.755761149,6.72,,0.010518732,0.0004063,0.011313599,0.000142045,4.84E-07,313.6, ,,
2021/9/20,3, HS1,22.6,1.2007,0.043 ,2.143 ,0.033 ,1.578 ,0.013 ,0.066 ,5.247 ,7.080 ,4.000 ,0.012651297,0.000386898,0.010786309,0.000144423,4.84E-07,284.1, ,,
2021/10/1,4, D01-1,18.6,1.2122,0.17 ,3.09 ,0.03 ,1.25 ,0.01 ,0.05 ,5.72 ,6.80 ,,0.009606628,0.000331545,0.007348751,2.69E-05,2.42E-05,317.3,255.8,,
2021/10/1,4, D01-2,17.3,1.213,0.222234726,2.869276329,0.031089376,1.349475417,0.009834996,0.044992713,5.758299721,6.79,,0.009368876,0.000353801,0.007241443,0.000193357,0.004325465,318.2,252.1,,
2021/10/1,4, D01-3,16.9,1.2156,0.27543397,2.730083978,0.030465592,1.448302818,0.01006608,0.044669998,5.869376357,6.74,,0.009662824,0.000351746,0.007577243,0.000378579,0.000300783,323.2,263.7,,
2021/10/1,4, D01-4,17,1.2261,0.507541249,2.390933115,0.02894356,1.622382226,0.010785554,0.039933375,6.109073985,6.72,,0.009919308,0.000345469,0.008215541,0.000323513,0.000103218,336.7,286,,
2021/10/1,4, D01-5,15.8,1.2422,0.732870739,1.631421351,0.028070263,2.131701296,0.012699781,0.034946908,6.600146673,6.5,,0.011014409,0.000345583,0.008738205,0.000394223,0.000608016,357.5,304.2,,
2021/10/1,4, D01-6,15.6,1.2632,0.484241003,0.464684965,0.022331454,3.297469656,0.013120977,0.022954403,7.535497701,5.98,,0.010863112,0.000300274,0.008523589,0.000140794,0.001228935,381.1,296.7,,
2021/10/1,4, D01-7,14.8,1.2705,0.3025707,0.407224622,0.02542542,3.591812384,0.015892344,0.018675828,7.897949398,5.9,,0.013018732,0.000274024,0.010581869,0.000140794,0.00164987,392.6,368.3,,
2021/10/1,4, D01-8,13.9,1.2715,0.261418016,0.38543232,0.027770847,3.587739148,0.015771066,0.017801374,7.833638902,5.82,,0.013442363,0.000277676,0.011117484,0.000257184,0.001779698,388.2,387,,
2021/10/1,4, D06-1,17.7,1.2139,0.151950341,3.099857158,0.031563451,1.246657066,0.008286242,0.046876952,5.71153358,6.93,,0.009309798,0.000365784,0.00673358,0.000697087,0.008567871,317,234.4,,
2021/10/1,4, D06-2,16.2,1.2139,0.234716087,3.026824671,0.032311992,1.285579099,0.007715908,0.047959609,5.799227146,6.88,,0.009360231,0.000369893,0.00692692,0.000240914,0.00101121,322.2,241.1,,
2021/10/1,4, D06-3,15.8,1.2338,0.924643782,2.174184525,0.03078996,1.584324213,0.00907455,0.044690818,6.237694976,6.56,,0.009319885,0.000392262,0.007769658,0.000203995,0.003344897,352.3,270.5,,
2021/10/1,4, D11-1,17.7,1.2092,0.044554367,3.879073339,0.030490543,1.000699445,0.006724378,0.0461066,5.886920712,7.14,,0.008814121,0.000299247,0.005967623,0.000494969,0.000649949,330.2,207.7,,
2021/10/1,4, D11-2,17.1,1.2086,0.044068412,3.684726019,0.030415689,0.983789344,0.007022656,0.045586092,5.658928723,7.13,,0.008631124,0.000296051,0.005788159,0.000375451,1.05E-05,317.2,201.5,,
2021/10/1,4, BS1,10.3,1.2295,0.326 ,1.703 ,0.032 ,2.120 ,0.014 ,0.041 ,6.238 ,6.580 ,4.000 ,0.014201729,0.0005315,0.010552266,0.000250926,0.001774053,331,367.3,,
2021/10/1,4, CL1,14,1.2205,0.335385426,2.41703168,0.028968511,1.621641638,0.010595443,0.048938164,5.951231208,6.54,,0.01024928,0.000357224,0.009098982,0.000144548,0.000305621,325.8,316.7,,
2021/10/1,4, HS1,21.5,1.1954,0.049 ,2.179 ,0.034 ,1.519 ,0.013 ,0.066 ,5.197 ,6.890 ,4.000 ,0.013097983,0.000350034,0.009354302,0.002009912,0.001663578,282.2,325.6,,
2021/10/11,5, D01-1,16.2,1.2177,0.33 ,2.43 ,0.02 ,1.49 ,0.01 ,0.04 ,5.68 ,6.70 ,,0.010279539,0.000593015,0.010766883,0.001914172,0.00010725,312.4,374.79,,
2021/10/11,5, D01-2,16,1.2186,0.351268469,2.451090309,0.023329507,1.486977988,0.010364359,0.041755153,5.728513807,6.7,,0.008747839,0.000594042,0.008416281,0.001690779,0.000123377,315.2,292.97,,
2021/10/11,5, D01-3,15.9,1.2199,0.381576693,2.314725302,0.024377464,1.553877803,0.010690498,0.042119509,5.757227879,6.7,,0.008861671,0.000597124,0.008633673,0.00150806,6.37E-05,316,300.54,,
2021/10/11,5, D01-4,15.4,1.2304,0.670182591,2.028554528,0.022281551,1.709360214,0.011668917,0.039287945,6.072913435,6.63,,0.010198847,0.000605341,0.008935245,0.001861609,0.000142731,335.4,311.03,,
2021/10/11,5, D01-5,16,1.2407,0.764227601,1.515587216,0.020909227,2.104134952,0.012388391,0.035769311,6.446027135,6.45,,0.009074928,0.000590504,0.008827937,0.000999324,0.000336264,349.7,307.27,,
2021/10/11,5, D01-6,15.4,1.2637,0.373443347,0.391130507,0.01744099,3.274346842,0.015077815,0.020726629,7.289792119,6,,0.011306916,0.000516549,0.010788159,7.26E-05,0.001188616,365.6,375.52,,
2021/10/11,5, D01-7,14.6,1.2712,0.305537581,0.457899338,0.01706672,3.439621477,0.016177512,0.017905476,7.622711759,5.9,,0.011667147,0.000500571,0.011044403,9.95E-05,0.001500688,380.1,384.42,,
2021/10/11,5, D01-8,12.8,1.2721,0.274922439,0.329972867,0.019861271,3.486072825,0.016097206,0.016666667,7.565311821,5.86,,0.01210951,0.000509359,0.011377428,9.95E-05,0.001646644,375,396.03,,
2021/10/11,5, D06-1,16.2,1.218,0.335052931,2.881107679,0.025625031,1.253363505,0.007212768,0.047886737,5.671113869,6.69,,0.008174352,0.000623488,0.007432932,0.001963606,0.000271753,317.3,258.72,,
2021/10/11,5, D06-2,15.9,1.2247,0.629132213,2.665751013,0.024427367,1.299979428,0.008042047,0.046293983,5.843313683,6.74,,0.007793948,0.000626569,0.007533765,0.002319659,0.000193533,330.9,262.23,,
2021/10/11,5, D06-3,16.9,1.2339,0.966947412,2.22251037,0.02430261,1.4431187,0.008558299,0.044711639,6.026993484,6.64,,0.007427954,0.000627939,0.007641073,0.00186286,0.000219338,343.8,265.98,,
2021/10/11,5, D11-1,15.7,1.21,0.047777013,3.361886759,0.02412795,1.045463896,0.007184906,0.049750156,5.441514117,7.02,,0.007646974,0.000547478,0.006626272,0.002470465,0.000201597,304.1,230.66,,
2021/10/11,5, D11-2,16.2,1.2085,0.045705312,3.403818455,0.024053096,1.025303436,0.006737489,0.049625234,5.441514117,7.03,,0.007433718,0.000545423,0.006562442,0.003661269,0.000354004,304.5,228.44,,
2021/10/11,5, BS1,8.7,1.2252,0.249 ,1.687 ,0.029 ,2.033 ,0.014 ,0.044 ,5.958 ,6.660 ,4.000 ,0.014110951,0.000438598,0.011258094,0.001822187,0.000491897,315.9,391.88,,
2021/10/11,5, CL1,15.1,1.2208,0.296483479,2.314159833,0.025949399,1.636288829,0.010446303,0.046200291,5.831833695,6.72,,0.010612392,0.000294339,0.009227567,0.001706423,0.000485446,317.8,321.21,,
2021/10/11,5, HS1,18.7,1.2023,0.036 ,2.267 ,0.028 ,1.518 ,0.013 ,0.058 ,5.269 ,7.030 ,4.000 ,0.012969741,0.000292627,0.009240518,0.003481678,0.000920895,285.3,321.64,,
2021/11/21,6, D01-1,13.1,1.2112,0.20 ,2.94 ,0.03 ,1.25 ,0.01 ,0.04 ,5.61 ,6.82 ,,0.009621037,0.00032892,0.007025902,0.000294103,0.000570116,310.8,,,
2021/11/21,6, D01-2,13.1,1.213,0.216812496,2.844178208,0.030715106,1.318987863,0.009480995,0.045773475,5.658928723,6.84,,0.009985591,0.000348436,0.007485661,0.000670179,0.000133054,313,,,
2021/11/21,6, D01-3,13.2,1.2141,0.226020057,2.695242392,0.0306153,1.341740383,0.009780913,0.045180096,5.56539644,6.86,,0.010252161,0.00034604,0.007779833,0.000595715,4.76E-05,307.1,,,
2021/11/21,6, D01-4,13.4,1.2164,0.277403365,2.788675258,0.029941614,1.406624151,0.010187358,0.044076619,5.840154571,6.89,,0.010126801,0.000346268,0.007800185,0.000860407,3.31E-05,322.5,,,
2021/11/21,6, D01-5,13.4,1.2322,0.599923782,1.842819734,0.025749788,1.890804361,0.011736112,0.038632105,6.187713311,6.63,,0.010623919,0.000310431,0.027777983,0.001283415,0.000395936,337.1,,,
2021/11/21,6, D01-6,12.4,1.2496,0.544090152,0.972867539,0.023404361,2.606912158,0.014127257,0.02988757,6.704312752,6.33,,0.011716138,0.000280758,0.030061055,0.000490589,0.000562859,349.9,,,
2021/11/21,6, D01-7,11.9,1.2668,0.393495369,0.496655708,0.018463995,3.234643078,0.015390843,0.022204872,7.33571207,6,,0.012889049,0.000226661,0.035251619,0.000115138,0.001391825,369.9,,,
2021/11/21,6, D01-8,11.8,1.2679,0.382011494,0.504615771,0.020160687,3.338531166,0.016788819,0.02209036,7.541336417,6.09,,0.013685879,0.00025485,0.011019426,0.000275956,0.001457949,379.3,,,
2021/11/21,6, D06-1,13.2,1.2122,0.200520227,3.196465349,0.028219971,1.159226497,0.008027297,0.043264626,5.676473077,6.95,,0.00873487,0.00035186,0.006648474,0.000638892,0.000341102,316.8,,,
2021/11/21,6, D06-2,13.4,1.2145,0.282493101,2.896201349,0.029517441,1.221641638,0.008204298,0.044680408,5.582940795,6.89,,0.009121037,0.00036761,0.006743756,0.001068783,0.000818484,311.5,,,
2021/11/21,6, D06-3,13.7,1.2275,0.718931514,2.69311101,0.028619193,1.330466982,0.008394409,0.041213825,6.038924774,6.8,,0.008919308,0.000374344,0.00647086,0.000316004,0.000254819,342.3,,,
2021/11/21,6, D06-4,14.1,1.2338,0.967842592,2.383843004,0.029242976,1.466694096,0.008597632,0.041880075,6.249372409,6.73,,0.008413545,0.000443734,0.00726642,0.00028722,0.000298364,355.8,,,
2021/11/21,6, D11-1,13.6,1.2103,0.045065898,3.410343097,0.027995409,1.142522115,0.007307823,0.047314179,5.694017432,7.07,,0.0089683,0.000357909,0.006503238,0.002026181,0.000730587,316.3,,,
2021/11/21,6, D11-2,13.4,1.2074,0.046574915,3.221606968,0.028519387,1.141658095,0.007184906,0.047199667,5.506924661,7.1,,0.008979827,0.000356197,0.006098057,0.00182469,0.001101526,305.4,,,
2021/11/21,6, D11-3,12.5,1.2084,0.047572401,3.302382029,0.028369679,1.138819173,0.007266851,0.046793671,5.582940795,7.03,,0.008930836,0.000361447,0.006630897,0.001619443,0.000521733,309.8,,,
2021/11/21,6, BS1,8.7,1.2124,0.156 ,2.305 ,0.030 ,1.647 ,0.013 ,0.051 ,5.700 ,6.880 ,4.000 ,0.012108069,0.000378452,0.009055504,0.004076767,0.000938635,308.7,,,
2021/11/21,6, CL1,12.4,1.2174,0.316279736,2.293237483,0.027246869,1.588274018,0.011192,0.046814491,5.73491665,6.79,,0.010951009,0.000350034,0.008714154,0.002607504,0.000603985,313.7,,,
2021/11/21,6, HS1,16.1,1.1908,0.049 ,2.093 ,0.033 ,1.477 ,0.013 ,0.061 ,5.028 ,7.170 ,4.000 ,0.012087896,0.000310203,0.008719704,0.004330822,0.000728168,272.8,,,
